scenario,generation,overall_mean_correct,overall_sd_correct,sem_correct,N_runs_correct,overall_mean_correct_pct,overall_sd_correct_pct,sem_correct_pct,overall_mean_wrong_no_error,overall_sd_wrong_no_error,sem_wrong_no_error,N_runs_wrong_no_error,overall_mean_wrong_no_error_pct,overall_sd_wrong_no_error_pct,sem_wrong_no_error_pct,overall_mean_error,overall_sd_error,sem_error,N_runs_error,overall_mean_error_pct,overall_sd_error_pct,sem_error_pct,n_batches
syntax_repair,evo_gen_0001,0.39270800000000006,0.35438106824562327,0.035438106824562325,100.0,39.27080000000001,35.438106824562325,3.5438106824562325,0.265495,0.3188054721156917,0.031880547211569174,100.0,26.5495,31.880547211569173,3.1880547211569175,0.341797,0.3928256333065948,0.03928256333065948,100.0,34.179700000000004,39.28256333065948,3.928256333065948,10
syntax_repair,evo_gen_0002,0.41403660000000003,0.3509798304199059,0.03509798304199059,100.0,41.40366,35.09798304199059,3.5097983041990592,0.2829168,0.3214137220179222,0.032141372201792216,100.0,28.291680000000003,32.141372201792215,3.2141372201792215,0.3030467,0.38266118367142776,0.038266118367142776,100.0,30.30467,38.266118367142774,3.8266118367142776,10
syntax_repair,evo_gen_0003,0.42520830000000004,0.34648564180530245,0.03464856418053024,100.0,42.520830000000004,34.648564180530244,3.4648564180530244,0.2884636,0.3203823322385082,0.03203823322385082,100.0,28.846359999999997,32.038233223850824,3.203823322385082,0.28632799999999997,0.3697098527794629,0.03697098527794629,100.0,28.632799999999996,36.97098527794629,3.697098527794629,10
syntax_repair,evo_gen_0004,0.4305207,0.34534807852394633,0.034534807852394635,100.0,43.05207,34.534807852394636,3.4534807852394636,0.2929948,0.3201914364707022,0.03201914364707022,100.0,29.29948,32.01914364707022,3.201914364707022,0.2764843,0.3642960753837322,0.036429607538373224,100.0,27.64843,36.42960753837322,3.6429607538373223,10
syntax_repair,evo_gen_0005,0.43489590000000006,0.3441377753641202,0.03441377753641202,100.0,43.48959000000001,34.41377753641202,3.441377753641202,0.2950259,0.3202824360846268,0.03202824360846268,100.0,29.50259,32.02824360846268,3.202824360846268,0.270078,0.3600150607320182,0.03600150607320182,100.0,27.0078,36.001506073201824,3.6001506073201823,10
syntax_repair,evo_gen_0006,0.4399349,0.34396886830800677,0.03439688683080068,100.0,43.99349,34.396886830800675,3.439688683080068,0.296862,0.3207416947556039,0.03207416947556039,100.0,29.686200000000003,32.07416947556039,3.207416947556039,0.26320299999999996,0.3570999655455406,0.035709996554554056,100.0,26.320299999999996,35.70999655455406,3.5709996554554055,10
syntax_repair,evo_gen_0007,0.44263030000000003,0.3436926427247185,0.03436926427247185,100.0,44.26303,34.36926427247185,3.436926427247185,0.2993229,0.3215963678956068,0.03215963678956068,100.0,29.932290000000002,32.15963678956068,3.2159636789560677,0.2580468,0.354983624096858,0.035498362409685805,100.0,25.80468,35.498362409685804,3.5498362409685806,10
syntax_repair,evo_gen_0008,0.44536429999999994,0.3437733972743609,0.03437733972743609,100.0,44.536429999999996,34.37733972743609,3.437733972743609,0.30065110000000006,0.32182616292180116,0.03218261629218012,100.0,30.065110000000004,32.182616292180114,3.218261629218012,0.2539842,0.3530395430687073,0.03530395430687073,100.0,25.398419999999998,35.30395430687073,3.530395430687073,10
syntax_repair,evo_gen_0009,0.44891919999999996,0.3444213440995687,0.03444213440995687,100.0,44.89192,34.44213440995687,3.4442134409956875,0.3010027,0.3219416404921045,0.03219416404921045,100.0,30.100270000000002,32.19416404921045,3.2194164049210454,0.25007820000000003,0.3512590288307494,0.03512590288307494,100.0,25.007820000000002,35.125902883074936,3.512590288307494,10
syntax_repair,evo_gen_0010,0.4505597,0.34506711809562235,0.03450671180956223,100.0,45.05597,34.50671180956223,3.450671180956223,0.30139340000000003,0.32257260104027574,0.032257260104027574,100.0,30.139340000000004,32.25726010402757,3.2257260104027576,0.24804690000000001,0.35096729154107337,0.03509672915410734,100.0,24.80469,35.09672915410734,3.509672915410734,10
