scenario,generation,mean_correct,mean_wrong_no_error,mean_error,n_contexts
batch05,initial,0.329167,0.294141,0.376693,64
batch05,evo_gen_0001,0.390885,0.301302,0.307813,64
batch05,evo_gen_0002,0.431510,0.283333,0.285156,64
batch05,evo_gen_0003,0.449479,0.275521,0.275000,64
batch05,evo_gen_0004,0.460938,0.258594,0.280469,64
batch05,evo_gen_0005,0.448698,0.276302,0.275000,64
batch05,evo_gen_0006,0.451563,0.278385,0.270052,64
batch05,evo_gen_0007,0.468229,0.277865,0.253906,64
batch05,evo_gen_0008,0.472917,0.279427,0.247656,64
batch05,evo_gen_0009,0.478125,0.274219,0.247656,64
batch05,evo_gen_0010,0.464844,0.271094,0.264062,64
batch10,initial,0.322526,0.295052,0.382422,64
batch10,evo_gen_0001,0.410547,0.284245,0.305208,64
batch10,evo_gen_0002,0.427083,0.291536,0.281380,64
batch10,evo_gen_0003,0.433984,0.300260,0.265755,64
batch10,evo_gen_0004,0.448047,0.314714,0.237240,64
batch10,evo_gen_0005,0.455469,0.318229,0.226302,64
batch10,evo_gen_0006,0.468099,0.319010,0.212891,64
batch10,evo_gen_0007,0.490625,0.329297,0.180078,64
batch10,evo_gen_0008,0.497396,0.341276,0.161328,64
batch10,evo_gen_0009,0.496615,0.347526,0.155859,64
batch10,evo_gen_0010,0.501693,0.343229,0.155078,64
batch15,initial,0.332682,0.294922,0.372396,64
batch15,evo_gen_0001,0.374219,0.305469,0.320312,64
batch15,evo_gen_0002,0.397743,0.312153,0.290104,64
batch15,evo_gen_0003,0.402691,0.325955,0.271354,64
batch15,evo_gen_0004,0.412413,0.329080,0.258507,64
batch15,evo_gen_0005,0.439410,0.324653,0.235938,64
batch15,evo_gen_0006,0.455208,0.330990,0.213802,64
batch15,evo_gen_0007,0.463976,0.329514,0.206510,64
batch15,evo_gen_0008,0.463455,0.336024,0.200521,64
batch15,evo_gen_0009,0.462413,0.334201,0.203385,64
batch15,evo_gen_0010,0.460590,0.334462,0.204948,64
batch20,initial,0.341667,0.280208,0.378125,64
batch20,evo_gen_0001,0.374805,0.280599,0.344596,64
batch20,evo_gen_0002,0.394336,0.310482,0.295182,64
batch20,evo_gen_0003,0.412956,0.318685,0.268359,64
batch20,evo_gen_0004,0.437044,0.316927,0.246029,64
batch20,evo_gen_0005,0.458333,0.304622,0.237044,64
batch20,evo_gen_0006,0.466081,0.301107,0.232812,64
batch20,evo_gen_0007,0.479297,0.307292,0.213411,64
batch20,evo_gen_0008,0.488932,0.300326,0.210742,64
batch20,evo_gen_0009,0.481901,0.307682,0.210417,64
batch20,evo_gen_0010,0.488802,0.303776,0.207422,64
